TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20240403241467,85,1,39,-1,0,3,-1,43,43,43,-1
20240403241469,85,4,34,7,0,3,-1,60,0,0,0
20240403241475,71,2,47,-1,0,4,-1,0,0,0,-1
20240403241475,72,2,48,-1,0,5,-1,0,0,0,-1
20240403241483,77,4,33,2,0,4,-1,0,0,0,0
20240403241531,72,1,39,-1,0,5,-1,0,0,0,-1
20240403241541,85,4,41,3,0,2,-1,60,0,0,0
20240403241582,85,4,33,2,0,2,-1,60,0,0,42
20240403241585,70,4,20,2,1,2,2,0,0,0,0
20240403241599,61,4,39,4,0,5,-1,0,0,0,0
20240403241600,85,4,33,5,0,2,-1,0,0,0,0
20240403241609,80,4,39,8,0,5,-1,0,0,0,0
20240403241718,57,1,33,-1,0,3,-1,0,0,0,-1
20240403241730,74,4,33,3,0,4,-1,0,0,0,0
20240403241748,80,4,33,2,0,3,-1,60,0,0,0
20240403241802,71,4,33,15,0,2,-1,0,0,0,0
20240403241802,78,4,42,2,0,3,-1,0,0,0,0
20240403241825,85,4,34,6,0,3,-1,60,0,0,0
20240403241872,80,4,33,8,0,2,-1,60,0,0,0
20240403241942,85,4,47,12,0,5,-1,60,0,0,0
20240403242009,85,4,39,2,0,3,-1,0,0,0,42
20240403242009,85,4,40,2,0,4,-1,60,0,0,42
20240403242036,80,4,33,5,0,3,-1,60,0,0,0
20240403242039,64,4,33,5,0,4,-1,0,0,0,0
20240403242039,66,3,40,-1,0,5,-1,0,0,0,-1
20240403242064,85,4,39,19,0,3,-1,60,0,0,0
20240403242071,73,4,20,5,1,2,2,0,0,0,0
20240403242099,75,2,43,-1,0,2,-1,0,0,0,-1
20240403242106,85,4,20,4,1,2,2,0,0,0,0
20240403242143,85,4,39,4,0,4,-1,60,0,0,0
20240403242151,85,4,39,9,0,3,-1,60,0,0,0
20240403242153,77,4,37,6,0,2,-1,0,0,0,0
20240403242165,74,4,43,2,0,3,-1,0,0,0,0
20240403242187,85,4,33,12,0,2,-1,60,0,0,0
20240403242252,60,4,33,2,0,6,-1,0,0,0,0
20240403242252,61,4,34,2,0,7,-1,0,0,0,0
20240403242272,80,3,43,-1,0,2,-1,60,0,0,-1
20240404240121,80,4,44,4,0,5,-1,60,0,0,0
20240404240121,75,4,44,4,0,6,-1,0,0,0,0
20240404240816,67,2,33,-1,0,3,-1,0,0,0,-1
20240404240824,66,4,33,3,0,5,-1,0,0,0,0
20240404240865,80,4,33,2,0,3,-1,60,0,0,0
20240404240867,77,4,56,1,0,5,-1,0,0,0,0
20240404240867,80,4,56,1,0,6,-1,0,0,0,0
20240404240867,85,4,56,1,0,7,-1,60,0,0,0
20240404240870,80,4,33,3,0,2,-1,60,0,0,0
20240404240973,80,4,40,5,0,4,-1,0,0,0,0
20240404240996,70,4,47,10,0,2,-1,0,0,0,0
20240404241055,80,2,56,-1,0,2,-1,60,0,0,-1
20240404241141,76,4,26,23,1,4,4,0,0,0,0
20240404241252,66,1,43,-1,0,2,-1,0,0,0,-1
20240404241363,80,4,34,3,0,2,-1,60,0,0,0
20240404241367,85,4,24,20,1,2,2,0,0,0,0
20240404241402,85,4,33,7,0,2,-1,60,0,0,0
20240404241542,77,4,20,2,1,2,2,0,0,0,0
20240404241628,85,1,33,-1,0,3,-1,60,0,0,-1
20240404241760,85,2,20,-1,1,2,2,0,0,0,-1
20240404241801,51,1,36,-1,0,4,-1,0,0,0,-1
20240404241853,62,3,38,-1,0,3,-1,0,0,0,-1
20240404241854,85,4,33,6,0,2,-1,60,0,0,0
20240404241854,85,4,39,1,0,3,-1,60,0,0,0
20240404241855,71,3,33,-1,0,3,-1,0,0,0,-1
20240404241923,65,2,24,-1,1,2,2,0,0,0,-1
20240404241930,78,4,44,27,0,3,-1,0,0,0,0
20240404241930,63,4,38,5,0,4,-1,0,0,0,0
20240404241930,60,4,37,10,0,5,-1,0,0,0,0
20240404241930,78,4,44,10,0,6,-1,0,0,0,0
20240404241934,78,2,20,-1,1,2,2,0,0,0,-1
20240404241952,66,4,43,3,0,3,-1,0,0,0,0
20240404241969,85,4,34,4,0,2,-1,60,0,0,0
20240404242145,44,4,20,8,1,2,2,0,0,0,0
20240404242158,80,3,28,-1,1,2,2,0,0,0,-1
20240404242185,85,4,41,10,0,4,-1,60,0,0,0
20240502241564,80,3,20,-1,1,2,2,60,0,0,-1
20240502241890,80,3,43,-1,0,2,-1,60,0,0,-1
20240503240078,75,3,20,-1,1,2,2,0,0,0,-1
20240503240303,85,1,47,-1,0,6,-1,0,0,0,-1
20240503240667,85,4,43,5,0,4,-1,60,0,0,0
20240503240819,78,4,33,2,0,5,-1,0,0,0,0
20240503241154,85,3,33,-1,0,2,-1,0,0,0,-1
20240503241172,79,4,49,16,0,3,-1,0,0,0,0
20240503241207,85,1,41,-1,0,2,-1,60,0,0,-1
20240503241321,72,4,33,12,0,4,-1,0,0,0,0
20240503241321,69,1,41,-1,0,5,-1,0,0,0,-1
20240503241441,73,1,49,-1,0,4,-1,0,0,0,-1
20240503241441,85,4,26,1,1,3,3,0,0,0,0
20240503241590,69,4,33,8,0,3,-1,0,0,0,0
20240503241608,80,4,39,2,0,3,-1,60,0,0,0
20240503241608,85,4,40,2,0,4,-1,60,0,0,0
20240503241833,85,1,39,-1,0,5,-1,60,0,0,-1
20240503241835,80,4,39,2,0,3,-1,60,0,0,0
20240503241936,80,1,33,-1,0,3,-1,60,0,0,-1
20240503242010,76,4,20,1,1,2,2,0,0,0,0
20240503242092,76,4,24,15,1,2,2,0,0,0,0
20240503242092,75,4,24,10,1,3,3,0,0,0,0
20240503242108,80,4,33,3,0,4,-1,60,0,0,0
20240504240047,69,4,33,22,0,2,-1,0,0,0,0
20240504240059,85,4,33,20,0,3,-1,60,0,0,0
20240504240078,70,2,41,-1,0,8,-1,0,0,0,-1
20240504240167,47,3,24,-1,1,2,2,0,0,0,-1
20240504240559,74,4,37,2,0,2,-1,0,0,0,0
20240504240567,72,1,44,-1,0,2,-1,0,0,0,-1
20240504240586,76,4,33,2,0,3,-1,0,0,0,0
20240504240600,85,4,35,4,0,2,-1,60,0,0,0
20240504240601,66,4,34,5,0,2,-1,0,0,0,0
20240504240601,62,4,33,5,0,3,-1,0,0,0,0
20240504240604,76,4,20,2,1,2,2,0,0,0,0
20240504240606,85,4,43,7,0,2,-1,60,0,0,0
20240504240606,85,2,43,-1,0,3,-1,60,0,0,-1
20240504240611,77,3,43,-1,0,2,-1,0,0,0,-1
20240504240611,85,2,43,-1,0,3,-1,0,0,0,-1
20240504240611,60,1,43,-1,0,4,-1,0,0,0,-1
20240504240641,76,1,44,-1,0,3,-1,0,0,0,-1
20240504240669,70,4,44,2,0,7,-1,0,0,0,0
20240504240676,80,4,44,10,0,3,-1,60,0,0,0
20240504240723,78,4,38,2,0,3,-1,0,0,0,0
20240504240723,80,4,56,2,0,4,-1,0,0,0,0
20240504240760,69,4,33,4,0,2,-1,0,0,0,0
20240504240776,64,3,33,-1,0,6,-1,0,0,0,-1
20240504240776,68,3,34,-1,0,7,-1,0,0,0,-1
20240504240781,80,4,47,10,0,3,-1,60,0,0,0
20240504240797,72,2,33,-1,0,5,-1,0,0,0,-1
20240504240797,76,3,34,-1,0,6,-1,0,0,0,-1
20240504240797,67,4,39,3,0,7,-1,0,0,0,0
20240504240803,85,3,49,-1,0,6,-1,60,0,0,-1
20240504240829,67,2,24,-1,1,2,2,0,0,0,-1
20240504240847,75,2,20,-1,1,2,2,0,0,0,-1
20240504240860,79,2,34,-1,0,2,-1,0,0,0,-1
20240504240860,85,2,33,-1,0,3,-1,0,0,0,-1
20240504240886,72,4,34,1,0,4,-1,0,0,0,0
20240504240886,66,1,39,-1,0,5,-1,0,0,0,-1
20240504240886,68,1,40,-1,0,6,-1,0,0,0,-1
20240504240913,85,4,26,2,1,2,2,0,0,0,0
20240504240938,85,4,41,2,0,2,-1,60,0,0,0
20240504240948,65,4,34,2,0,3,-1,0,0,0,0
20240504240952,69,1,43,-1,0,2,-1,0,0,0,-1
20240504240952,85,4,43,2,0,3,-1,60,0,0,0
20240504241025,79,4,43,2,0,3,-1,0,0,0,0
20240504241057,80,4,34,20,0,4,-1,60,0,0,0
20240504241059,85,4,47,20,0,4,-1,60,0,0,0
20240504241080,85,1,33,-1,0,3,-1,60,0,0,-1
20240504241090,85,3,47,-1,0,3,-1,60,0,0,-1
20240504241135,85,4,33,2,0,3,-1,60,0,0,0
20240504241146,62,1,43,-1,0,2,-1,0,0,0,-1
20240504241192,67,4,37,10,0,3,-1,0,0,0,0
20240504241243,85,4,44,2,0,4,-1,60,0,0,0
20240504241301,80,4,44,2,0,2,-1,61,0,0,0
20240504241301,71,4,56,2,0,3,-1,42,0,0,0
20240504241342,85,1,39,-1,0,3,-1,60,0,0,-1
20240504241344,80,2,44,-1,0,5,-1,0,0,0,-1
20240504241387,76,4,20,2,1,2,2,0,0,0,0
20240504241449,80,4,33,2,0,4,-1,60,0,0,0
20240504241488,85,4,34,6,0,5,-1,60,0,0,0
20240504241490,72,4,49,4,0,2,-1,0,0,0,0
20240504241490,80,2,49,-1,0,3,-1,60,0,0,-1
20240504241507,71,4,43,2,0,2,-1,0,0,0,0
20240504241558,85,4,33,4,0,3,-1,0,0,0,0
20240504241569,77,4,25,2,1,6,6,0,0,0,0
20240504241573,77,2,38,-1,0,3,-1,0,0,0,-1
20240504241581,75,2,39,-1,0,5,-1,0,0,0,-1
20240504241596,80,1,43,-1,0,9,-1,60,0,0,-1
20240504241596,71,1,43,-1,0,10,-1,0,0,0,-1
20240504241609,76,4,21,2,1,2,2,0,0,0,0
20240504241623,85,2,33,-1,0,3,-1,60,0,0,-1
20240504241623,85,2,34,-1,0,4,-1,60,0,0,-1
20240504241683,80,4,33,4,0,2,-1,60,0,0,0
20240504241692,68,2,38,-1,0,3,-1,0,0,0,-1
20240504241692,63,4,21,2,1,2,2,0,0,0,0
20240504241734,85,4,33,3,0,3,-1,60,0,0,0
20240504241738,75,1,44,-1,0,3,-1,0,0,0,-1
20240504241740,66,4,20,18,1,2,2,0,0,0,0
20240504241758,68,4,33,3,0,6,-1,0,0,0,0
20240504241816,77,1,38,-1,0,3,-1,0,0,0,-1
20240504241822,80,4,43,5,0,3,-1,60,0,0,0
20240504241822,80,4,43,5,0,4,-1,60,0,0,0
20240504241835,85,3,20,-1,1,2,2,0,0,0,-1
20240504241876,73,4,33,3,0,6,-1,0,0,0,0
20240504241876,75,4,34,3,0,7,-1,0,0,0,0
20240504241882,79,4,20,1,1,2,2,0,0,0,0
20240504241891,70,4,33,2,0,5,-1,0,0,0,0
20240504241902,78,1,47,-1,0,3,-1,0,0,0,-1
20240504241909,75,4,43,2,0,4,-1,0,0,0,0
20240504241909,68,2,20,-1,1,2,2,0,0,0,-1
20240504241945,85,4,56,10,0,3,-1,60,0,0,0
20240504241945,85,4,56,10,0,4,-1,60,0,0,0
20240504242017,74,4,20,5,1,2,2,0,0,0,0
20240504242099,79,3,33,-1,0,3,-1,0,0,0,-1
20240504242104,75,4,43,4,0,3,-1,0,0,0,0
20240504242104,72,4,49,3,0,4,-1,0,0,0,0
20240504242113,85,4,33,5,0,4,-1,60,0,0,0
20240504242122,80,3,33,-1,0,3,-1,60,0,0,-1
20240504242122,80,3,34,-1,0,4,-1,60,0,0,-1
20240504242132,85,4,33,3,0,3,-1,60,0,0,0
20240504242146,79,4,56,2,0,4,-1,0,0,0,0
20240504242146,54,4,56,2,0,5,-1,0,0,0,0
20240504242150,67,4,20,8,1,2,2,0,0,0,0
20240504242198,85,4,33,10,0,2,-1,60,0,0,0
20240504242255,85,4,34,3,0,2,-1,60,0,0,0
20240504242262,79,1,33,-1,0,3,-1,0,0,0,-1
20240504242275,72,4,26,2,1,2,2,0,0,0,42
20240504242279,70,1,20,-1,1,2,2,0,0,0,-1
20240504242280,85,4,33,3,0,3,-1,60,0,0,0
20240504242285,80,4,33,4,0,3,-1,0,0,0,0
20240504242294,85,4,33,7,0,3,-1,60,0,0,0
20240504242301,80,4,33,20,0,5,-1,60,0,0,0
20240504242301,79,4,34,10,0,6,-1,0,0,0,0
20240504242350,85,4,33,30,0,3,-1,60,0,0,0
20240504242404,85,4,56,4,0,3,-1,60,0,0,0
20240505240645,80,4,56,15,0,3,-1,0,0,0,0
20240505240645,85,4,56,15,0,4,-1,0,0,0,0
20240505240645,73,4,56,40,0,5,-1,0,0,0,0
20240505240645,70,4,56,38,0,6,-1,0,0,0,0
20240505240645,80,4,56,8,0,7,-1,0,0,0,0
20240505240651,80,4,34,10,0,2,-1,60,0,0,0
20240505241047,79,4,38,2,0,3,-1,0,0,0,0
20240505241320,69,1,43,-1,0,3,-1,0,0,0,-1
20240505241372,79,4,20,11,1,2,2,0,0,0,0
20240505241396,85,1,44,-1,0,3,-1,60,0,0,-1
20240505242301,78,1,34,-1,0,4,-1,0,0,0,-1
20240505242347,77,4,39,10,0,5,-1,0,0,0,0
20240603242279,85,4,34,2,0,3,-1,60,0,0,0
20240604240646,85,4,33,10,0,3,-1,60,0,0,0
20240604240691,74,4,33,20,0,3,-1,0,0,0,0
20240604241032,63,4,34,3,0,4,-1,0,0,0,0
20240604241032,80,4,48,3,0,5,-1,60,0,0,0
20240604241032,80,4,47,5,0,6,-1,60,0,0,0
20240604241269,80,4,48,3,0,3,-1,60,0,0,0
20240604241357,85,4,33,2,0,3,-1,60,0,0,0
20240604241417,75,4,47,10,0,3,-1,0,0,0,0
20240604241417,75,4,48,10,0,4,-1,0,0,0,0
20240604241462,80,4,33,10,0,3,-1,60,0,0,0
20240604241467,74,4,39,3,0,3,-1,0,0,0,0
20240604241467,85,4,40,3,0,4,-1,0,0,0,0
20240604241501,59,3,33,-1,0,5,-1,0,0,0,-1
20240604241541,67,4,33,5,0,5,-1,0,0,0,0
20240604241541,69,4,34,25,0,6,-1,0,0,0,0
20240604241779,85,3,43,-1,0,3,-1,60,0,0,-1
20240604241793,85,4,33,10,0,3,-1,60,0,0,0
20240604241793,85,4,34,10,0,4,-1,60,0,0,0
20240604241796,79,3,43,-1,0,2,-1,0,0,0,-1
20240604241811,85,4,47,10,0,3,-1,0,0,0,0
20240604241811,85,4,48,10,0,4,-1,60,0,0,0
20240604241849,70,1,44,-1,0,3,-1,0,0,0,-1
20240604241897,73,1,20,-1,1,2,2,0,0,0,-1
20240604241922,64,1,37,-1,0,2,-1,0,0,0,-1
20240604241981,85,2,24,-1,1,3,3,60,0,0,-1
20240604242049,74,2,33,-1,0,3,-1,0,0,0,-1
20240604242089,79,1,33,-1,0,3,-1,0,0,0,-1
20240604242089,80,3,34,-1,0,4,-1,0,0,0,-1
20240604242154,85,4,40,3,0,4,-1,60,0,0,0
20240604242278,64,1,24,-1,1,3,3,0,0,0,-1
20240604242323,85,4,34,4,0,2,-1,60,0,0,0
20240604242328,76,4,20,2,1,2,2,0,0,0,0
20240604242400,85,4,38,2,0,3,-1,61,43,43,42
20240605240157,77,1,43,-1,0,7,-1,0,0,0,-1
20240605240162,85,4,47,3,0,5,-1,60,0,0,0
20240605240512,70,4,39,2,0,3,-1,0,0,0,0
20240605240518,85,1,33,-1,0,4,-1,60,0,0,-1
20240605240553,80,4,20,18,1,2,2,0,0,0,0
20240605240602,50,3,44,-1,0,5,-1,0,0,0,-1
20240605240602,72,3,43,-1,0,6,-1,42,0,0,-1
20240605240603,64,4,36,20,0,3,-1,0,0,0,0
20240605240613,70,3,43,-1,0,2,-1,0,0,0,-1
20240605240619,69,4,37,12,0,2,-1,0,0,0,0
20240605240640,72,4,34,3,0,2,-1,0,0,0,0
20240605240646,85,4,33,3,0,2,-1,60,0,0,0
20240605240647,85,4,24,2,1,3,3,0,0,0,0
20240605240670,85,4,43,1,0,2,-1,0,0,0,0
20240605240679,80,4,20,2,1,2,2,0,0,0,0
20240605240685,79,4,34,7,0,3,-1,0,0,0,0
20240605240712,71,1,20,-1,1,2,2,0,0,0,-1
20240605240752,74,4,20,10,1,2,2,0,0,0,0
20240605240760,72,4,20,15,1,2,2,0,0,0,0
20240605240778,79,1,38,-1,0,2,-1,0,0,0,-1
20240605240806,85,4,33,1,0,3,-1,60,0,0,0
20240605240819,77,3,34,-1,0,3,-1,0,0,0,-1
20240605240850,62,4,20,10,1,2,2,0,0,0,0
20240605240876,85,4,34,2,0,4,-1,60,0,0,0
20240605240893,78,4,39,4,0,6,-1,0,0,0,0
20240605240897,85,4,56,2,0,7,-1,60,0,0,0
20240605240897,85,4,56,2,0,8,-1,60,0,0,0
20240605240925,63,4,35,3,0,2,-1,0,0,0,0
20240605240934,79,4,20,3,1,2,2,0,0,0,0
20240605240946,76,3,34,-1,0,3,-1,0,0,0,-1
20240605240952,65,4,43,4,0,2,-1,0,0,0,0
20240605240952,65,4,56,5,0,3,-1,0,0,0,0
20240605240952,64,4,43,3,0,4,-1,0,0,0,0
20240605240965,85,2,34,-1,0,3,-1,60,0,0,-1
20240605240980,80,4,41,2,0,3,-1,60,0,0,0
20240605240993,71,4,49,2,0,3,-1,0,0,0,0
20240605240999,85,1,34,-1,0,2,-1,60,0,0,-1
20240605241015,85,4,44,7,0,3,-1,0,0,0,0
20240605241076,79,4,56,20,0,2,-1,0,0,0,0
20240605241076,72,2,44,-1,0,3,-1,0,0,0,-1
20240605241076,74,1,56,-1,0,4,-1,0,0,0,-1
20240605241077,76,2,20,-1,1,2,2,0,0,0,-1
20240605241084,85,4,33,5,0,3,-1,60,0,0,0
20240605241095,76,4,24,4,1,2,2,0,0,0,0
20240605241096,80,2,34,-1,0,8,-1,60,0,0,-1
20240605241096,80,4,39,5,0,9,-1,60,0,0,0
20240605241128,85,4,33,10,0,3,-1,60,0,0,0
20240605241134,80,1,20,-1,1,2,2,0,0,0,-1
20240605241159,85,2,24,-1,1,2,2,0,0,0,-1
20240605241199,67,1,38,-1,0,2,-1,0,0,0,-1
20240605241207,49,2,43,-1,0,2,-1,0,0,0,-1
20240605241207,35,2,43,-1,0,3,-1,0,0,0,-1
20240605241212,75,4,43,5,0,2,-1,0,0,0,0
20240605241269,80,3,20,-1,1,2,2,0,0,0,-1
20240605241277,85,1,38,-1,0,3,-1,60,0,0,-1
20240605241318,85,1,33,-1,0,2,-1,0,0,0,-1
20240605241341,80,3,33,-1,0,3,-1,60,0,0,-1
20240605241343,80,2,56,-1,0,2,-1,60,0,0,-1
20240605241368,85,1,47,-1,0,2,-1,60,0,0,-1
20240605241375,72,4,24,3,1,2,2,0,0,0,0
20240605241403,71,3,20,-1,1,2,2,0,0,0,-1
20240605241422,85,1,43,-1,0,2,-1,60,0,0,-1
20240605241450,73,4,26,4,1,5,5,0,0,0,0
20240605241450,70,4,26,4,1,6,6,0,0,0,0
20240605241539,73,1,43,-1,0,2,-1,0,0,0,-1
20240605241589,80,4,41,2,0,2,-1,60,0,0,0
20240605241665,80,4,38,10,0,3,-1,60,0,0,0
20240605241674,72,1,20,-1,1,2,2,0,0,0,-1
20240605241696,80,1,39,-1,0,5,-1,60,0,0,-1
20240605241727,70,3,33,-1,0,4,-1,0,0,0,-1
20240605241760,85,4,43,3,0,2,-1,60,0,0,0
20240605241769,85,4,33,3,0,3,-1,60,0,0,0
20240605241796,85,4,47,5,0,5,-1,60,0,0,0
20240605241812,80,4,39,2,0,4,-1,60,0,0,0
20240605241812,80,3,40,-1,0,5,-1,0,0,0,-1
20240605241892,74,4,33,3,0,3,-1,0,0,0,0
20240605241910,76,4,34,2,0,2,-1,0,0,0,0
20240605241914,85,4,44,1,0,3,-1,60,0,0,0
20240605241914,71,3,44,-1,0,4,-1,0,0,0,-1
20240605241934,80,4,24,5,1,2,2,0,0,0,0
20240605241934,61,4,25,5,1,3,3,0,0,0,0
20240605241961,85,4,33,15,0,3,-1,60,0,0,0
20240605241989,85,3,33,-1,0,3,-1,60,0,0,-1
20240605241993,68,4,34,1,0,3,-1,0,0,0,0
20240605242014,70,3,24,-1,1,2,2,0,0,0,-1
20240605242069,80,4,38,2,0,4,-1,60,0,0,0
20240605242069,80,1,37,-1,0,5,-1,60,0,0,-1
20240605242070,85,4,33,15,0,2,-1,60,0,0,0
20240605242071,85,4,33,3,0,3,-1,60,0,0,0
20240605242071,85,4,34,3,0,4,-1,60,0,0,0
20240605242074,58,4,33,9,0,3,-1,0,0,0,0
20240605242074,62,4,34,9,0,4,-1,0,0,0,0
20240605242084,80,4,34,2,0,3,-1,60,0,0,0
20240605242084,85,4,40,2,0,4,-1,0,0,0,0
20240605242091,85,4,33,4,0,4,-1,60,0,0,0
20240605242093,85,4,34,6,0,3,-1,60,0,0,0
20240605242094,79,1,49,-1,0,3,-1,0,0,0,-1
20240605242094,85,4,20,3,1,2,2,0,0,0,0
20240605242115,85,4,33,30,0,3,-1,60,0,0,0
20240605242180,85,4,33,15,0,3,-1,60,0,0,0
20240605242195,80,2,20,-1,1,2,2,0,0,0,-1
20240605242210,85,2,34,-1,0,8,-1,60,0,0,-1
20240605242210,85,2,33,-1,0,9,-1,60,0,0,-1
20240605242215,77,4,20,2,1,2,2,0,0,0,0
20240605242223,67,1,33,-1,0,5,-1,0,0,0,-1
20240605242223,67,1,34,-1,0,6,-1,0,0,0,-1
20240605242237,85,4,33,16,0,3,-1,60,0,0,0
20240605242270,62,1,33,-1,0,3,-1,0,0,0,-1
20240605242280,85,4,24,10,1,2,2,60,0,0,0
